HOOD_158,NEIGHBOURHOOD_158,HOOD_LONG_WGS84,HOOD_LAT_WGS84
68,North Riverdale,-79.35090102,43.67344816
69,Blake-Jones,-79.33906521,43.67680806
7,Willowridge-Martingrove-Richview,-79.55683463,43.68245509
70,South Riverdale,-79.34115697,43.66024157
71,Cabbagetown-South St.James Town,-79.37042775,43.66545877
72,Regent Park,-79.36152387,43.66008519
73,Moss Park,-79.36966366,43.65702044
74,North St.James Town,-79.37456977,43.66917196
78,Kensington-Chinatown,-79.39821296,43.65351779
79,University,-79.40381341,43.66268749
8,Humber Heights-Westmount,-79.52212321,43.69206299
80,Palmerston-Little Italy,-79.41918265,43.65955126
81,Trinity-Bellwoods,-79.41469472,43.65025374
83,Dufferin Grove,-79.43675013,43.65637926
84,Little Portugal,-79.42885242,43.64725971
85,South Parkdale,-79.4336957,43.63822987
86,Roncesvalles,-79.44184383,43.64504491
87,High Park-Swansea,-79.46585353,43.64519259
88,High Park North,-79.46486711,43.65656601
89,Runnymede-Bloor West Village,-79.48571557,43.6589283
9,Edenbridge-Humber Valley,-79.52015711,43.67210768
90,Junction Area,-79.4706224,43.66823997
91,Weston-Pelham Park,-79.45894798,43.67256819
92,Corso Italia-Davenport,-79.44579294,43.67755843
94,Wychwood,-79.42630977,43.67853122
95,Annex,-79.40161931,43.67059838
96,Casa Loma,-79.41055333,43.68214317
97,Yonge-St.Clair,-79.39746097,43.68858457
98,Rosedale-Moore Park,-79.38478026,43.6797275
99,Mount Pleasant East,-79.38631625,43.70818312
